cluster_id	KSLabel
0	mua
1	mua
2	mua
4	mua
5	good
6	mua
7	mua
8	good
9	mua
10	mua
11	good
12	good
13	good
14	good
15	mua
16	mua
17	good
18	mua
19	mua
20	mua
21	mua
22	mua
23	mua
24	mua
25	good
26	mua
27	good
28	mua
29	mua
30	mua
31	mua
32	mua
33	mua
34	mua
35	good
36	mua
37	mua
38	mua
39	good
40	mua
41	mua
43	mua
44	mua
45	mua
46	mua
47	mua
48	mua
49	mua
50	mua
51	mua
52	mua
53	mua
54	mua
55	mua
57	mua
58	mua
59	mua
60	mua
61	mua
62	mua
63	mua
64	good
65	mua
66	mua
67	mua
68	mua
69	mua
70	mua
71	good
72	mua
73	mua
74	mua
75	good
76	mua
77	mua
78	mua
79	mua
80	mua
81	mua
82	mua
83	mua
84	mua
85	mua
86	mua
87	mua
88	mua
90	mua
91	mua
93	mua
94	good
96	mua
97	mua
98	mua
99	mua
100	good
101	mua
102	mua
109	mua
111	mua
116	good
117	good
118	good
119	good
120	good
121	good
122	mua
123	mua
124	mua
125	mua
126	mua
127	mua
128	good
129	mua
130	mua
132	mua
133	mua
134	mua
135	mua
136	mua
137	mua
138	mua
139	mua
140	mua
141	mua
142	mua
143	mua
145	mua
146	mua
147	mua
148	mua
149	mua
150	mua
151	mua
152	mua
153	mua
154	mua
155	mua
156	mua
157	mua
158	mua
160	mua
168	mua
171	mua
172	mua
173	mua
174	mua
175	mua
176	mua
180	mua
181	mua
182	mua
183	mua
192	mua
193	good
196	good
197	mua
198	mua
199	good
200	good
