cluster_id	KSLabel
0	mua
1	mua
2	mua
3	mua
4	mua
5	mua
7	good
9	mua
10	mua
11	mua
13	mua
14	mua
16	good
17	mua
19	mua
21	mua
22	mua
23	mua
24	mua
25	mua
26	mua
27	mua
28	mua
29	mua
30	mua
31	mua
32	mua
33	mua
34	mua
35	mua
36	mua
37	mua
38	mua
39	mua
40	mua
41	mua
42	mua
43	mua
44	mua
45	mua
46	mua
47	mua
48	mua
49	mua
50	mua
51	mua
52	mua
53	mua
54	mua
55	mua
56	mua
57	mua
58	mua
59	mua
60	good
62	mua
63	good
64	mua
65	good
66	good
67	good
68	mua
69	mua
70	mua
71	mua
72	good
76	mua
77	mua
78	good
79	good
80	mua
81	mua
82	good
83	good
84	mua
85	good
86	good
87	good
90	good
91	mua
92	mua
93	mua
94	good
95	mua
96	mua
97	mua
98	good
99	mua
100	mua
101	mua
102	mua
103	good
104	mua
105	mua
106	mua
107	mua
108	mua
109	mua
110	good
111	good
112	good
113	mua
114	mua
115	mua
116	good
117	mua
118	mua
119	mua
120	good
121	mua
122	mua
123	mua
124	mua
125	mua
126	mua
127	mua
128	mua
129	mua
130	mua
131	mua
132	mua
134	good
135	mua
136	mua
137	mua
138	good
139	mua
140	good
141	mua
144	mua
145	mua
146	mua
147	mua
148	mua
149	mua
150	mua
151	mua
152	mua
153	mua
154	good
155	mua
156	mua
157	mua
158	mua
159	mua
160	good
161	mua
162	mua
163	mua
164	mua
165	mua
166	mua
167	mua
168	mua
169	mua
170	good
171	mua
172	good
173	good
174	mua
175	good
179	mua
183	mua
184	mua
185	mua
188	mua
189	good
190	good
191	good
193	good
194	mua
195	good
196	good
197	mua
198	mua
199	good
200	good
201	mua
202	good
204	mua
208	mua
209	mua
210	mua
211	mua
212	good
213	good
215	good
216	good
217	good
218	mua
220	good
222	good
223	good
224	good
226	good
227	good
228	good
230	good
232	mua
233	good
235	good
236	good
237	good
