Start,Peak,Stop,Trough,Max_Envelope_Amp,Duration_ms
581.01,581.0216,581.0428,581.0204,8.103979110717773,0.0328
708.4712,708.5044,708.51,708.5036,3.9941439628601074,0.0388
709.544,709.562,709.5736,709.5504,4.420509338378906,0.0296
709.7236,709.7456,709.7528,709.7428,3.347921848297119,0.0292
712.3772,712.3976,712.43,712.3996,7.455256938934326,0.0528
853.6588,853.6696,853.6852,853.6676,6.2894086837768555,0.0264
858.1544,858.16,858.1944,858.1872,3.333019733428955,0.04
858.6076,858.6672,858.676,858.6668,4.9095683097839355,0.0684
859.2096,859.218,859.2392,859.2196,7.228034973144531,0.0296
863.0668,863.0744,863.0944,863.0744,4.798305034637451,0.0276
863.7024,863.7188,863.7248,863.7196,3.805434226989746,0.0224
864.8064,864.8168,864.8316,864.8188,9.069406509399414,0.0252
873.6068,873.634,873.666,873.6304,4.506017208099365,0.0592
883.9012,883.9172,883.942,883.9164,6.129672527313232,0.0408
888.6924,888.742,888.75,888.7452,3.756425380706787,0.0576
890.5672,890.5756,890.5964,890.5744,5.82086181640625,0.0292
890.6232,890.6396,890.6488,890.626,3.4011433124542236,0.0256
1230.4344,1230.4848,1230.4932,1230.4836,5.206265449523926,0.0588
1231.1564,1231.172,1231.1932,1231.1704,7.326132297515869,0.0368
1231.4652,1231.4824,1231.5288,1231.4832,3.214419364929199,0.0636
2082.224,2082.2332,2082.2584,2082.2464,4.9168267250061035,0.0344
2085.266,2085.2996,2085.3232,2085.298,10.239727973937988,0.0572
2089.0116,2089.0312,2089.04,2089.0292,5.041473865509033,0.0284
2090.7896,2090.8172,2090.8308,2090.804,6.55059814453125,0.0412
2093.4952,2093.508,2093.5204,2093.508,5.412312030792236,0.0252
2097.9,2097.926,2097.9376,2097.9244,4.369153022766113,0.0376
2098.0184,2098.0304,2098.0404,2098.0328,5.993284225463867,0.022
2099.0696,2099.0772,2099.0936,2099.0756,4.313920021057129,0.024
2101.3828,2101.408,2101.4136,2101.4096,3.0543205738067627,0.0308
2102.4412,2102.4532,2102.4668,2102.4548,6.122591972351074,0.0256
2102.5508,2102.5904,2102.5988,2102.5884,6.637081623077393,0.048
2111.8472,2111.8588,2111.872,2111.8564,9.938724517822266,0.0248
2112.7036,2112.7308,2112.74,2112.7344,6.569623947143555,0.0364
2113.138,2113.1464,2113.1716,2113.1456,4.311252593994141,0.0336
2116.7572,2116.7668,2116.7924,2116.7676,4.5721964836120605,0.0352
2117.7776,2117.7836,2117.8024,2117.7848,4.027737140655518,0.0248
2118.4348,2118.4452,2118.46,2118.4444,8.040952682495117,0.0252
2119.084,2119.1012,2119.1096,2119.1064,3.788820266723633,0.0256
2119.782,2119.806,2119.8168,2119.8008,3.761765241622925,0.0348
2122.3656,2122.3716,2122.4112,2122.3688,3.0719685554504395,0.0456
2123.0452,2123.0636,2123.0956,2123.0656,5.576908111572266,0.0504
2123.6984,2123.7072,2123.7208,2123.7084,5.305501461029053,0.0224
2124.4648,2124.4888,2124.4996,2124.4848,4.457311153411865,0.0348
2125.5832,2125.6184,2125.6256,2125.618,7.471855640411377,0.0424
2126.4924,2126.5044,2126.5156,2126.5044,7.608922004699707,0.0232
2127.2816,2127.2916,2127.3136,2127.292,5.476328372955322,0.032
2128.1264,2128.15,2128.1584,2128.1504,6.2556538581848145,0.032
2129.19,2129.2028,2129.2104,2129.2052,4.506037712097168,0.0204
2129.698,2129.7176,2129.7288,2129.7152,10.52304458618164,0.0308
2129.9768,2129.9848,2130.0016,2129.9984,3.049001932144165,0.0248
