Observation id,Observation date,Description,Observation type,Source,Total duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,EventType,Behavioral category,Modifier #1,Behavior type,Start (s),Stop (s),Duration (s),Media file name,StartFrame,EndFrame,Image file path start,Image file path stop,Comment start,Comment stop,ActualStartFrame,ActualEndFrame,indexStart,indexEnd
7742_PartnerIntro,2025-10-08 10:33:02.142,,Media file,player #1:C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_PartnerIntro_02062025.mp4,3959.25,3963.233,60.0,No focal subject,1538.333,epoch,Not defined,rest start,POINT,3.967,3.967,,C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_PartnerIntro_02062025.mp4,238,238,,,,,239,239,15113,15113
7742_PartnerIntro,2025-10-08 10:33:02.142,,Media file,player #1:C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_PartnerIntro_02062025.mp4,3959.25,3963.233,60.0,No focal subject,1538.333,sleeping,Not defined,,STATE,410.85,412.267,1.417,C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_PartnerIntro_02062025.mp4,24651,24736,,,,,24927,25012,1043752,1047294
7742_PartnerIntro,2025-10-08 10:33:02.142,,Media file,player #1:C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_PartnerIntro_02062025.mp4,3959.25,3963.233,60.0,No focal subject,1538.333,sleeping,Not defined,,STATE,496.967,498.8,1.833,C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_PartnerIntro_02062025.mp4,29818,29928,,,,,30133,30244,1260663,1265288
7742_PartnerIntro,2025-10-08 10:33:02.142,,Media file,player #1:C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_PartnerIntro_02062025.mp4,3959.25,3963.233,60.0,No focal subject,1538.333,sleeping,Not defined,,STATE,571.7,572.767,1.067,C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_PartnerIntro_02062025.mp4,34302,34366,,,,,34717,34781,1451658,1454324
7742_PartnerIntro,2025-10-08 10:33:02.142,,Media file,player #1:C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_PartnerIntro_02062025.mp4,3959.25,3963.233,60.0,No focal subject,1538.333,sleeping,Not defined,,STATE,681.05,681.6,0.55,C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_PartnerIntro_02062025.mp4,40863,40896,,,,,41285,41318,1725317,1726692
7742_PartnerIntro,2025-10-08 10:33:02.142,,Media file,player #1:C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_PartnerIntro_02062025.mp4,3959.25,3963.233,60.0,No focal subject,1538.333,sleeping,Not defined,,STATE,684.0,686.65,2.65,C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_PartnerIntro_02062025.mp4,41040,41199,,,,,41462,41621,1732692,1739316
7742_PartnerIntro,2025-10-08 10:33:02.142,,Media file,player #1:C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_PartnerIntro_02062025.mp4,3959.25,3963.233,60.0,No focal subject,1538.333,sleeping,Not defined,,STATE,690.267,694.267,4.0,C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_PartnerIntro_02062025.mp4,41416,41656,,,,,41838,42078,1748358,1758358
7742_PartnerIntro,2025-10-08 10:33:02.142,,Media file,player #1:C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_PartnerIntro_02062025.mp4,3959.25,3963.233,60.0,No focal subject,1538.333,sleeping,Not defined,,STATE,698.533,707.433,8.9,C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_PartnerIntro_02062025.mp4,41912,42446,,,,,42334,42868,1769024,1791273
7742_PartnerIntro,2025-10-08 10:33:02.142,,Media file,player #1:C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_PartnerIntro_02062025.mp4,3959.25,3963.233,60.0,No focal subject,1538.333,sleeping,Not defined,,STATE,842.133,846.233,4.1,C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_PartnerIntro_02062025.mp4,50528,50774,,,,,50950,51196,2128014,2138264
7742_PartnerIntro,2025-10-08 10:33:02.142,,Media file,player #1:C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_PartnerIntro_02062025.mp4,3959.25,3963.233,60.0,No focal subject,1538.333,sleeping,Not defined,,STATE,848.317,851.383,3.066,C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_PartnerIntro_02062025.mp4,50899,51083,,,,,51321,51505,2143472,2151139
