cluster_id	KSLabel
0	mua
1	mua
2	mua
3	mua
4	mua
5	mua
6	mua
7	mua
8	mua
9	mua
10	mua
11	mua
12	mua
13	mua
14	mua
15	good
16	mua
17	good
18	mua
19	mua
20	mua
21	mua
22	mua
23	mua
24	mua
25	mua
26	mua
27	mua
28	mua
29	good
30	good
31	mua
32	mua
33	mua
34	mua
35	mua
36	mua
37	mua
38	mua
39	mua
40	mua
42	good
43	mua
44	mua
45	mua
46	mua
47	mua
48	mua
49	mua
50	mua
51	mua
52	mua
53	mua
54	mua
55	mua
56	good
57	mua
58	mua
59	mua
60	mua
61	mua
62	mua
63	mua
64	mua
65	mua
66	mua
67	mua
68	mua
69	mua
70	mua
71	mua
72	mua
73	mua
75	mua
76	good
77	good
78	good
80	good
81	mua
82	mua
84	mua
87	mua
88	mua
89	good
90	mua
91	mua
92	mua
94	mua
95	mua
96	mua
97	mua
98	mua
100	mua
101	mua
104	mua
105	mua
107	mua
108	mua
109	mua
110	mua
111	mua
112	mua
113	mua
114	mua
115	good
116	mua
117	mua
118	mua
119	good
121	mua
123	mua
125	mua
126	mua
131	good
132	mua
133	mua
134	good
136	mua
139	mua
140	mua
141	mua
142	good
144	good
146	good
148	mua
149	mua
150	mua
151	mua
152	mua
153	mua
154	mua
155	mua
156	mua
157	mua
158	mua
159	mua
160	mua
161	mua
162	mua
163	mua
164	good
165	mua
166	good
167	mua
168	good
172	mua
173	mua
174	mua
175	mua
176	mua
177	mua
178	good
179	good
181	mua
182	mua
183	good
184	good
186	mua
187	mua
188	good
189	good
190	good
191	mua
192	mua
193	mua
194	mua
195	mua
196	mua
197	mua
198	mua
199	mua
200	mua
201	mua
202	mua
203	mua
204	mua
205	mua
206	mua
207	good
208	mua
209	mua
210	mua
211	mua
212	mua
213	mua
214	mua
215	mua
216	mua
218	mua
219	mua
220	mua
221	mua
223	good
226	mua
228	good
229	good
230	good
231	mua
232	mua
233	mua
234	mua
235	mua
236	mua
237	mua
238	mua
239	mua
240	mua
241	mua
243	good
246	mua
247	mua
248	mua
249	mua
251	good
252	mua
253	mua
254	mua
256	mua
257	good
259	mua
260	mua
262	mua
263	mua
264	mua
265	mua
266	mua
267	mua
268	mua
269	mua
270	mua
271	mua
272	mua
