Start,Peak,Stop,Trough,Max_Envelope_Amp,Duration_ms
101.8768,101.8992,101.9036,101.9008,3.1617448329925537,0.0268
103.1748,103.2236,103.2308,103.226,5.411768436431885,0.056
115.9932,116.0128,116.0216,116.0116,9.281731605529785,0.0284
133.778,133.7892,133.8004,133.7892,4.220850944519043,0.0224
366.5576,366.6088,366.6184,366.6112,8.912477493286133,0.0608
366.864,366.892,366.9028,366.8908,7.9562482833862305,0.0388
371.1468,371.1832,371.1916,371.1856,4.864424228668213,0.0448
371.8012,371.812,371.842,371.8348,4.677108287811279,0.0408
379.02,379.0264,379.0836,379.0248,3.964714765548706,0.0636
385.7228,385.7432,385.75,385.7448,5.214262962341309,0.0272
388.7044,388.7268,388.7344,388.7304,4.410818099975586,0.03
389.3908,389.4384,389.4484,389.4388,7.058752059936523,0.0576
406.7436,406.7668,406.7812,406.7648,3.0429458618164062,0.0376
423.9412,423.9556,423.9664,423.9532,7.409396648406982,0.0252
424.4752,424.4824,424.5264,424.4848,4.474770545959473,0.0512
428.0636,428.09,428.1004,428.0864,6.199385643005371,0.0368
429.1332,429.14,429.158,429.1392,4.492433547973633,0.0248
432.7992,432.8164,432.8272,432.8136,7.4051079750061035,0.028
436.8332,436.8624,436.8892,436.8632,3.804849863052368,0.056
438.5128,438.5236,438.536,438.522,7.564757823944092,0.0232
439.8368,439.8444,439.8632,439.8432,3.402179479598999,0.0264
442.9236,442.9356,442.958,442.9344,6.041416645050049,0.0344
449.5856,449.6116,449.618,449.6144,3.8798365592956543,0.0324
452.0464,452.0692,452.0776,452.068,9.862475395202637,0.0312
470.6192,470.6404,470.6716,470.6424,6.909368515014648,0.0524
471.4624,471.4772,471.5036,471.4796,6.916907787322998,0.0412
477.7572,477.782,477.7904,477.78,4.639837741851807,0.0332
479.528,479.5472,479.5576,479.5508,7.900985240936279,0.0296
482.6404,482.6496,482.6768,482.6512,4.639924049377441,0.0364
489.5556,489.5616,489.608,489.56,3.403208017349243,0.0524
490.58,490.6008,490.6056,490.6016,3.632453441619873,0.0256
491.0496,491.0644,491.0728,491.0672,6.961450576782227,0.0232
495.1584,495.1848,495.1904,495.182,3.7686803340911865,0.032
495.8112,495.8192,495.8468,495.8388,4.721863746643066,0.0356
495.928,495.9344,495.978,495.9748,3.1622750759124756,0.05
496.4448,496.4508,496.4776,496.452,3.195416212081909,0.0328
499.6944,499.7032,499.7352,499.7,3.9986672401428223,0.0408
502.2732,502.2792,502.308,502.3012,3.3178677558898926,0.0348
509.1948,509.2044,509.2176,509.2,5.477017879486084,0.0228
519.9368,519.948,519.9636,519.952,6.322474479675293,0.0268
520.272,520.2784,520.3052,520.28,4.689271926879883,0.0332
524.41,524.4216,524.434,524.422,3.5412328243255615,0.024
527.7056,527.7288,527.7396,527.7312,11.966723442077637,0.034
529.942,529.9664,529.9848,529.9644,5.2037529945373535,0.0428
532.1328,532.142,532.1552,532.1428,4.502723693847656,0.0224
535.1768,535.208,535.214,535.2056,3.7986223697662354,0.0372
545.3748,545.3828,545.4124,545.3832,4.1028828620910645,0.0376
545.4412,545.4628,545.4684,545.464,3.3369901180267334,0.0272
558.4548,558.4896,558.498,558.4892,5.051483154296875,0.0432
562.8088,562.814,562.8308,562.8152,3.5002596378326416,0.022
565.1424,565.156,565.1656,565.1544,6.941492080688477,0.0232
565.7544,565.7664,565.7884,565.7684,14.706274032592773,0.034
571.4316,571.4432,571.452,571.4448,5.444167613983154,0.0204
575.1432,575.1696,575.1756,575.1456,3.1722724437713623,0.0324
578.9948,579.0196,579.0512,579.0164,11.69771671295166,0.0564
586.0296,586.05,586.078,586.0472,6.023472309112549,0.0484
586.1236,586.1548,586.1596,586.1576,3.417819023132324,0.036
588.6556,588.686,588.692,588.6852,3.985182285308838,0.0364
589.5084,589.518,589.53,589.5172,6.213140964508057,0.0216
592.304,592.3148,592.3556,592.3124,7.455003261566162,0.0516
593.5724,593.5792,593.6064,593.5788,4.863796710968018,0.034
597.2996,597.3056,597.3284,597.308,3.781811475753784,0.0288
597.5928,597.6028,597.614,597.6012,6.909952640533447,0.0212
608.0116,608.0172,608.0392,608.0168,3.026461601257324,0.0276
610.7176,610.7336,610.7436,610.7376,5.932406902313232,0.026
617.9752,617.9828,618.0068,617.984,6.919151306152344,0.0316
619.1656,619.1852,619.1928,619.1828,3.5157580375671387,0.0272
620.0988,620.1224,620.1404,620.1208,4.290625095367432,0.0416
623.7412,623.7812,623.7876,623.7824,4.959347724914551,0.0464
627.8804,627.9048,627.9516,627.904,5.997325897216797,0.0712
630.2684,630.2816,630.3304,630.2836,4.544586658477783,0.062
632.32,632.342,632.3512,632.3452,5.861876487731934,0.0312
634.2272,634.2544,634.2608,634.2536,4.103188514709473,0.0336
636.666,636.6896,636.6952,636.6896,3.136171817779541,0.0292
638.876,638.892,638.8988,638.894,4.64996337890625,0.0228
642.2988,642.3416,642.3492,642.3192,5.727177143096924,0.0504
643.388,643.4056,643.4128,643.4068,4.357638835906982,0.0248
648.4576,648.4644,648.4988,648.4628,3.8024027347564697,0.0412
649.2428,649.2608,649.2708,649.2608,9.02839183807373,0.028
655.282,655.2876,655.3096,655.288,3.5032761096954346,0.0276
661.7324,661.7644,661.7752,661.7664,4.936692714691162,0.0428
663.9564,663.9748,663.9864,663.9736,6.096564292907715,0.03
669.25,669.2576,669.2756,669.2588,3.3711376190185547,0.0256
672.1376,672.1564,672.1664,672.1576,7.043076038360596,0.0288
672.7824,672.7956,672.8092,672.8032,4.535231590270996,0.0268
679.7928,679.806,679.8132,679.8068,4.676120281219482,0.0204
683.5776,683.6364,683.7088,683.636,7.864021301269531,0.1312
683.7956,683.8296,683.8468,683.8312,5.018333435058594,0.0512
684.2456,684.2808,684.2864,684.28,3.6061956882476807,0.0408
696.2736,696.2996,696.3064,696.3028,3.8153648376464844,0.0328
698.8344,698.8636,698.8928,698.86,5.829895973205566,0.0584
703.4332,703.4392,703.4696,703.4412,3.5123727321624756,0.0364
709.4716,709.4836,709.5136,709.4864,7.756789684295654,0.042
711.0272,711.0664,711.0736,711.0656,5.867580890655518,0.0464
712.2452,712.2532,712.3092,712.2716,5.658116817474365,0.064
712.8392,712.8684,712.9128,712.868,4.281497001647949,0.0736
713.4576,713.468,713.4812,713.4672,3.494013547897339,0.0236
717.8628,717.8768,717.886,717.8808,5.21088171005249,0.0232
718.6636,718.6744,718.6888,718.6712,4.142507076263428,0.0252
729.558,729.5796,729.5848,729.5804,3.4552648067474365,0.0268
731.4672,731.4752,731.4956,731.474,5.840121269226074,0.0284
732.5772,732.5848,732.6124,732.5856,4.390389919281006,0.0352
742.7876,742.7936,742.8184,742.7948,4.106119155883789,0.0308
743.7984,743.8152,743.8416,743.8148,4.254641532897949,0.0432
746.514,746.5264,746.5488,746.5264,6.691080570220947,0.0348
747.378,747.3864,747.4184,747.3872,4.676261901855469,0.0404
750.3284,750.336,750.3808,750.3588,6.329648017883301,0.0524
752.7588,752.784,752.794,752.7804,4.302478790283203,0.0352
755.2788,755.3036,755.3104,755.3056,3.1026289463043213,0.0316
770.1216,770.136,770.17,770.134,5.923415660858154,0.0484
772.9588,772.9688,773.0068,772.9676,6.1799468994140625,0.048
775.2524,775.2748,775.2828,775.2728,5.373106002807617,0.0304
775.5776,775.5924,775.6168,775.5928,3.9701597690582275,0.0392
785.9888,786.0144,786.0248,786.0116,5.255605697631836,0.036
791.6596,791.666,791.6852,791.682,3.058645248413086,0.0256
794.4512,794.4716,794.4796,794.4712,4.373946189880371,0.0284
794.6644,794.6704,794.7036,794.67,4.300471305847168,0.0392
800.5972,800.6428,800.648,800.6412,3.741572856903076,0.0508
802.4968,802.5056,802.5184,802.5044,5.168439865112305,0.0216
803.996,804.0052,804.0308,804.0028,6.412274360656738,0.0348
804.5712,804.5896,804.6016,804.5768,4.951508045196533,0.0304
808.0564,808.0648,808.0792,808.0652,5.87808895111084,0.0228
813.4256,813.436,813.4512,813.4328,5.651057243347168,0.0256
820.9064,820.9164,820.928,820.918,10.429376602172852,0.0216
823.7024,823.732,823.738,823.7304,4.467708110809326,0.0356
831.352,831.3768,831.3932,831.3784,4.591838836669922,0.0412
832.6032,832.618,832.628,832.62,6.142699718475342,0.0248
835.516,835.5228,835.5496,835.5204,4.342483043670654,0.0336
838.5512,838.568,838.5736,838.5656,3.2284581661224365,0.0224
839.2868,839.3152,839.3208,839.3176,3.5901103019714355,0.034
840.9276,840.9332,840.9644,840.934,3.0003504753112793,0.0368
