Observation id,Observation date,Description,Observation type,Source,Total duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,EventType,Behavioral category,Modifier #1,Behavior type,Start (s),Stop (s),Duration (s),Media file name,StartFrame,EndFrame,Image file path start,Image file path stop,Comment start,Comment stop,ActualStartFrame,ActualEndFrame,indexStart,indexEnd
7742_SSintro,07:22.5,,Media file,player #1:C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_SSintro_Jan28.mp4,3690.517,3690.533,60,No focal subject,2316.972,epoch,Not defined,rest start,POINT,0,0,,C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_SSintro_Jan28.mp4,0,0,,,,,1,1,45,45
7742_SSintro,07:22.5,,Media file,player #1:C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_SSintro_Jan28.mp4,3690.517,3690.533,60,No focal subject,2316.972,sleeping,Not defined,,STATE,101.8,105.35,3.55,C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_SSintro_Jan28.mp4,6108,6321,,,,,6109,6322,254538,263413
7742_SSintro,07:22.5,,Media file,player #1:C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_SSintro_Jan28.mp4,3690.517,3690.533,60,No focal subject,2316.972,sleeping,Not defined,,STATE,115.55,123.35,7.8,C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_SSintro_Jan28.mp4,6933,7401,,,,,6934,7402,288912,308411
7742_SSintro,07:22.5,,Media file,player #1:C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_SSintro_Jan28.mp4,3690.517,3690.533,60,No focal subject,2316.972,sleeping,Not defined,,STATE,128.333,129.05,0.717,C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_SSintro_Jan28.mp4,7700,7743,,,,,7701,7744,320869,322661
7742_SSintro,07:22.5,,Media file,player #1:C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_SSintro_Jan28.mp4,3690.517,3690.533,60,No focal subject,2316.972,sleeping,Not defined,,STATE,132.9,134.083,1.183,C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_SSintro_Jan28.mp4,7975,8045,,,,,7976,8046,332327,335244
7742_SSintro,07:22.5,,Media file,player #1:C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_SSintro_Jan28.mp4,3690.517,3690.533,60,No focal subject,2316.972,sleeping,Not defined,,STATE,143.833,144.733,0.9,C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_SSintro_Jan28.mp4,8630,8684,,,,,8631,8685,359618,361868
7742_SSintro,07:22.5,,Media file,player #1:C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_SSintro_Jan28.mp4,3690.517,3690.533,60,No focal subject,2316.972,sleeping,Not defined,,STATE,365.917,373.25,7.333,C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_SSintro_Jan28.mp4,21955,22395,,,,,21956,22396,914812,933144
7742_SSintro,07:22.5,,Media file,player #1:C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_SSintro_Jan28.mp4,3690.517,3690.533,60,No focal subject,2316.972,sleeping,Not defined,,STATE,378.083,382.483,4.4,C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_SSintro_Jan28.mp4,22686,22949,,,,,22687,22950,945269,956227
7742_SSintro,07:22.5,,Media file,player #1:C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_SSintro_Jan28.mp4,3690.517,3690.533,60,No focal subject,2316.972,sleeping,Not defined,,STATE,385.267,392.883,7.616,C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_SSintro_Jan28.mp4,23117,23573,,,,,23118,23574,963227,982226
7742_SSintro,07:22.5,,Media file,player #1:C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_SSintro_Jan28.mp4,3690.517,3690.533,60,No focal subject,2316.972,sleeping,Not defined,,STATE,405.883,413.383,7.5,C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_SSintro_Jan28.mp4,24353,24803,,,,,24354,24804,1014725,1033475
