cluster_id	KSLabel
0	good
1	mua
2	mua
3	good
4	mua
5	mua
6	mua
7	mua
8	good
9	mua
10	mua
11	mua
12	good
13	mua
14	mua
15	mua
16	mua
17	good
18	mua
19	mua
20	mua
21	mua
22	mua
23	good
24	mua
25	mua
26	mua
27	mua
28	mua
29	mua
30	mua
31	mua
32	mua
33	good
34	mua
35	good
36	mua
37	good
38	mua
39	mua
40	mua
41	good
42	mua
43	good
44	mua
45	mua
46	mua
47	mua
48	mua
49	good
50	mua
51	good
52	mua
53	good
54	mua
55	mua
56	mua
57	mua
58	good
59	mua
60	mua
61	good
62	mua
63	mua
64	mua
65	mua
66	mua
67	mua
68	mua
69	mua
70	mua
71	mua
72	mua
73	mua
74	good
75	mua
76	mua
77	mua
78	mua
79	mua
80	mua
81	mua
82	mua
83	mua
84	good
85	mua
86	mua
87	mua
88	good
89	mua
90	mua
91	good
92	mua
93	mua
94	mua
95	good
96	mua
97	good
98	mua
99	good
100	mua
101	mua
102	mua
103	mua
104	mua
105	mua
106	mua
107	mua
108	mua
109	good
110	good
111	good
112	mua
113	mua
114	good
115	mua
116	mua
117	good
118	mua
119	mua
120	mua
121	mua
122	mua
123	mua
124	mua
125	mua
126	mua
127	mua
128	mua
129	mua
130	mua
131	mua
132	mua
133	mua
134	mua
135	mua
136	good
137	mua
138	mua
139	good
140	good
141	mua
142	mua
143	mua
144	good
145	mua
146	mua
147	mua
148	mua
149	good
150	mua
151	mua
152	mua
153	mua
154	good
155	good
156	mua
157	good
158	mua
159	mua
160	mua
161	mua
162	mua
163	mua
164	mua
165	mua
166	mua
167	mua
168	mua
169	mua
170	mua
171	good
172	mua
173	good
174	mua
175	mua
176	mua
177	good
178	mua
179	mua
180	mua
181	mua
182	mua
183	mua
184	mua
185	mua
186	mua
187	good
188	good
189	good
190	good
191	mua
192	good
193	good
194	good
195	mua
196	mua
197	good
198	mua
199	mua
200	mua
201	mua
202	mua
203	mua
204	good
205	good
206	mua
207	mua
208	mua
209	mua
210	good
211	mua
212	good
213	mua
214	mua
215	mua
216	mua
217	mua
218	mua
219	good
220	mua
221	mua
222	good
223	good
224	good
225	good
226	mua
227	mua
228	mua
229	good
230	mua
231	good
232	good
233	mua
234	good
235	good
236	mua
237	mua
238	mua
239	good
240	good
241	mua
242	mua
243	good
244	good
245	good
246	mua
247	good
248	mua
249	good
