Start,Peak,Stop,Trough,Max_Envelope_Amp,Duration_ms
395.9528,395.9676,395.9796,395.9664,7.640599727630615,0.0268
396.452,396.4728,396.49,396.4692,7.283451557159424,0.038
397.8444,397.8552,397.8704,397.858,9.787484169006348,0.026
398.26,398.2728,398.282,398.2716,8.641111373901367,0.022
398.9188,398.93,398.9668,398.9288,5.265129089355469,0.048
401.8584,401.8804,401.8892,401.8628,3.0854082107543945,0.0308
403.92,403.9272,403.9572,403.9248,4.480749130249023,0.0372
415.5936,415.604,415.628,415.6064,5.357034683227539,0.0344
447.6188,447.6532,447.6612,447.6552,4.580515384674072,0.0424
460.1812,460.2236,460.2696,460.2248,7.816101551055908,0.0884
460.4052,460.4472,460.4564,460.4444,7.147718906402588,0.0512
460.5116,460.516,460.5408,460.5176,3.121037483215332,0.0292
461.6172,461.65,461.6576,461.6512,4.494009971618652,0.0404
461.9728,461.984,462.0088,461.9864,6.995054244995117,0.036
463.896,463.906,463.9164,463.908,5.892794609069824,0.0204
468.1452,468.1656,468.1876,468.1664,10.440479278564453,0.0424
468.5532,468.5612,468.594,468.5624,3.238193988800049,0.0408
469.7752,469.8212,469.8532,469.7936,5.139526844024658,0.078
471.6216,471.6704,471.6772,471.6688,4.519584655761719,0.0556
520.3208,520.332,520.3576,520.3408,4.7099714279174805,0.0368
526.6876,526.7104,526.7168,526.7128,4.446682929992676,0.0292
527.9224,527.9336,527.9616,527.9576,4.1116814613342285,0.0392
528.4932,528.5052,528.5148,528.504,5.499293804168701,0.0216
528.8068,528.8196,528.8412,528.8204,7.918887615203857,0.0344
531.3932,531.4024,531.4244,531.4032,3.7132694721221924,0.0312
531.5968,531.6144,531.624,531.6032,4.229678153991699,0.0272
532.2984,532.3036,532.334,532.3028,3.5629379749298096,0.0356
532.4196,532.4416,532.4508,532.4428,4.019996166229248,0.0312
534.0432,534.0804,534.0856,534.082,3.891716718673706,0.0424
535.9404,535.956,535.964,535.9604,4.941743850708008,0.0236
537.964,537.9864,537.996,537.9708,3.8914146423339844,0.032
540.5732,540.5836,540.5984,540.5856,9.435924530029297,0.0252
541.2812,541.3012,541.3084,541.3024,3.530273199081421,0.0272
541.9232,541.9832,541.996,541.9836,7.500068664550781,0.0728
542.0548,542.0884,542.096,542.086,5.0986762046813965,0.0412
542.5084,542.5224,542.5388,542.5192,7.391254425048828,0.0304
542.8608,542.8708,542.9052,542.8716,6.902615547180176,0.0444
544.164,544.1736,544.2068,544.1992,6.156082630157471,0.0428
544.738,544.7472,544.7772,544.7476,6.749104976654053,0.0392
3132.5624,3132.5792,3132.5868,3132.58,4.357213973999023,0.0244
3132.6916,3132.7008,3132.712,3132.7012,3.695976972579956,0.0204
3136.3936,3136.4152,3136.4208,3136.4128,3.429246664047241,0.0272
3137.9168,3137.9276,3137.9392,3137.926,6.090145111083984,0.0224
3138.6108,3138.6552,3138.6616,3138.6148,3.1518588066101074,0.0508
3140.3572,3140.3732,3140.38,3140.3752,4.3648457527160645,0.0228
3147.378,3147.4288,3147.4568,3147.4304,4.1648125648498535,0.0788
3148.3008,3148.3196,3148.3284,3148.318,7.436769008636475,0.0276
3150.6024,3150.628,3150.64,3150.6276,10.65136432647705,0.0376
3151.4076,3151.4256,3151.444,3151.4284,4.46284294128418,0.0364
3153.4568,3153.4956,3153.5004,3153.496,3.9009389877319336,0.0436
3155.4928,3155.504,3155.5176,3155.5032,5.562780857086182,0.0248
3371.6064,3371.614,3371.6472,3371.6252,4.4528489112854,0.0408
3372.4768,3372.4892,3372.5252,3372.4972,6.075344562530518,0.0484
3378.446,3378.4548,3378.47,3378.456,4.319357872009277,0.024
3378.5944,3378.6168,3378.6244,3378.6004,4.150710582733154,0.03
3378.768,3378.7736,3378.792,3378.7728,3.0918967723846436,0.024
3378.88,3378.904,3378.9324,3378.9008,12.592005729675293,0.0524
3379.9148,3379.922,3379.9352,3379.9204,3.7758424282073975,0.0204
3380.0172,3380.0556,3380.0744,3380.0532,9.030795097351074,0.0572
3381.764,3381.784,3381.8196,3381.7836,6.8440728187561035,0.0556
3383.8408,3383.8484,3383.862,3383.8472,4.21956729888916,0.0212
3385.2808,3385.3112,3385.3172,3385.3116,3.778954267501831,0.0364
3385.6784,3385.688,3385.7144,3385.69,6.660966396331787,0.036
3385.8944,3385.9468,3385.9564,3385.924,5.22749662399292,0.062
3387.0624,3387.0788,3387.0852,3387.0668,3.258902072906494,0.0228
3391.842,3391.8512,3391.8712,3391.8488,5.6647844314575195,0.0292
3392.6468,3392.6596,3392.6764,3392.6592,11.929983139038086,0.0296
3393.1668,3393.1788,3393.188,3393.178,8.132844924926758,0.0212
3393.6888,3393.708,3393.7172,3393.7084,4.632823944091797,0.0284
3394.3176,3394.3564,3394.3812,3394.356,5.8705830574035645,0.0636
3402.5624,3402.5948,3402.6044,3402.5928,6.765749931335449,0.042
3402.6856,3402.712,3402.756,3402.7116,3.9257142543792725,0.0704
3403.6684,3403.7104,3403.7228,3403.6888,5.16118860244751,0.0544
3405.7464,3405.7544,3405.7796,3405.7552,4.15512752532959,0.0332
3406.0272,3406.0456,3406.0524,3406.0456,4.774813175201416,0.0252
3406.89,3406.898,3406.922,3406.8964,5.7846503257751465,0.032
3407.8864,3407.9144,3407.9336,3407.9148,5.246175765991211,0.0472
3410.6812,3410.714,3410.726,3410.7052,4.134060859680176,0.0448
3412.3592,3412.3864,3412.394,3412.3848,3.0413358211517334,0.0348
3412.9256,3412.9364,3412.962,3412.9376,6.941771507263184,0.0364
3414.2024,3414.2232,3414.2352,3414.2104,4.507707118988037,0.0328
3414.386,3414.3996,3414.416,3414.4016,8.786576271057129,0.03
3414.712,3414.7248,3414.7328,3414.7264,4.807697296142578,0.0208
3415.6308,3415.646,3415.6632,3415.6456,5.301563262939453,0.0324
3415.8032,3415.824,3415.8348,3415.8292,8.086928367614746,0.0316
3418.1272,3418.1344,3418.1572,3418.1356,3.8736910820007324,0.03
3420.0088,3420.0168,3420.0388,3420.0144,5.367990970611572,0.03
3423.04,3423.0868,3423.1008,3423.0892,6.782388687133789,0.0608
3426.1036,3426.1196,3426.144,3426.1156,8.892054557800293,0.0404
3426.7936,3426.808,3426.826,3426.8072,9.12053108215332,0.0324
3427.9844,3428.0128,3428.0184,3427.9876,3.3827362060546875,0.034
3428.9808,3429.0272,3429.034,3429.0296,5.223750114440918,0.0532
3431.9384,3431.9608,3431.9936,3431.9636,15.420090675354004,0.0552
3432.584,3432.6088,3432.6672,3432.596,6.0233988761901855,0.0832
3434.2284,3434.2404,3434.2588,3434.238,6.306836128234863,0.0304
3434.9056,3434.9152,3434.9308,3434.918,4.622713565826416,0.0252
3435.5904,3435.6056,3435.6248,3435.6192,6.1617536544799805,0.0344
3435.8992,3435.9096,3435.9264,3435.9124,5.12671422958374,0.0272
3436.5076,3436.5412,3436.55,3436.5408,5.230356216430664,0.0424
3439.97,3439.9788,3440.0076,3439.9908,4.8814697265625,0.0376
3440.8776,3440.884,3440.8996,3440.8968,3.4714152812957764,0.022
3442.2748,3442.2848,3442.2976,3442.2876,3.6457722187042236,0.0228
3443.1072,3443.1144,3443.128,3443.1152,3.45245099067688,0.0208
3444.8308,3444.8612,3444.8908,3444.86,5.198649883270264,0.06
3445.7336,3445.772,3445.7836,3445.7724,6.457803726196289,0.05
3453.8164,3453.8388,3453.8472,3453.8396,7.0223870277404785,0.0308
3453.9384,3453.9496,3453.976,3453.9524,8.193942070007324,0.0376
3454.4368,3454.4464,3454.472,3454.44,4.136419773101807,0.0352
3454.7644,3454.7736,3454.8208,3454.7768,3.3240549564361572,0.0564
3455.518,3455.5264,3455.5572,3455.5284,4.167704105377197,0.0392
3457.6512,3457.664,3457.6908,3457.6664,5.993792533874512,0.0396
3459.7684,3459.8052,3459.8328,3459.8284,3.229749917984009,0.0644
