Start,Peak,Stop,Trough,Max_Envelope_Amp,Duration_ms
491.6564,491.6708,491.6784,491.6684,6.842095375061035,0.022
501.9352,501.9448,501.9584,501.9476,3.670274019241333,0.0232
502.6964,502.7136,502.7292,502.7124,6.689425945281982,0.0328
502.798,502.8252,502.8412,502.8224,5.499062538146973,0.0432
504.0348,504.0508,504.0724,504.0524,13.250602722167969,0.0376
508.2436,508.256,508.2656,508.258,7.648205757141113,0.022
510.0368,510.0656,510.0724,510.0428,5.102509021759033,0.0356
511.226,511.2628,511.2704,511.2628,6.846649646759033,0.0444
514.4712,514.484,514.5064,514.4804,7.0750651359558105,0.0352
514.9792,514.9972,515.006,514.9972,4.350775241851807,0.0268
516.4676,516.4832,516.4928,516.4828,8.157400131225586,0.0252
516.6552,516.6604,516.6756,516.6624,3.5717856884002686,0.0204
518.4732,518.5012,518.5092,518.5044,5.195257663726807,0.036
520.2948,520.3144,520.3232,520.3136,5.758211612701416,0.0284
521.4656,521.472,521.498,521.474,4.951956272125244,0.0324
521.8624,521.8724,521.8852,521.8756,5.729490756988525,0.0228
522.2576,522.278,522.2816,522.2792,2.6210930347442627,0.024
523.7692,523.7876,523.7988,523.7872,9.218403816223145,0.0296
525.3016,525.3252,525.3468,525.3204,5.691574573516846,0.0452
526.7364,526.7556,526.762,526.754,3.071711778640747,0.0256
526.9712,526.9948,527.01,526.9932,3.4419004917144775,0.0388
527.9428,527.9548,527.9648,527.9484,4.980269908905029,0.022
528.7196,528.734,528.7404,528.7216,3.1898550987243652,0.0208
537.1948,537.2168,537.2296,537.2176,8.893508911132812,0.0348
537.8452,537.8648,537.87,537.8648,3.617398738861084,0.0248
540.2956,540.3196,540.3328,540.3212,6.189333915710449,0.0372
541.2444,541.268,541.2772,541.2656,6.345919609069824,0.0328
541.6276,541.6544,541.658,541.6336,3.007408618927002,0.0304
541.7544,541.7704,541.7916,541.7684,9.793315887451172,0.0372
545.0604,545.0944,545.1068,545.0976,11.385621070861816,0.0464
545.3972,545.4096,545.4256,545.4172,6.069300651550293,0.0284
545.9312,545.9636,545.98,545.9624,12.411437034606934,0.0488
546.04,546.0448,546.0632,546.0428,3.0563063621520996,0.0232
546.9332,546.9648,546.9724,546.9624,6.278404235839844,0.0392
550.1688,550.1788,550.1944,550.1756,7.15543270111084,0.0256
552.758,552.7692,552.7784,552.7648,5.510152339935303,0.0204
557.3408,557.3564,557.368,557.3588,6.632567882537842,0.0272
557.5468,557.5644,557.5816,557.5664,18.457157135009766,0.0348
559.4336,559.464,559.474,559.4632,5.547757625579834,0.0404
561.5448,561.5688,561.5844,561.5688,14.868419647216797,0.0396
561.6108,561.6244,561.634,561.6212,6.771183490753174,0.0232
562.2276,562.244,562.2616,562.2408,6.841486930847168,0.034
562.4528,562.4656,562.492,562.4688,5.571212291717529,0.0392
562.9084,562.9164,562.9292,562.9172,4.488213062286377,0.0208
570.0224,570.0404,570.0548,570.0308,4.244883060455322,0.0324
572.1716,572.186,572.2088,572.1856,9.30013370513916,0.0372
598.086,598.1136,598.1212,598.1112,7.931301593780518,0.0352
598.2568,598.2668,598.286,598.2668,9.592865943908691,0.0292
599.4436,599.4528,599.4648,599.4516,8.721651077270508,0.0212
600.1448,600.158,600.196,600.1596,8.82816219329834,0.0512
600.3708,600.382,600.4008,600.3808,4.017077922821045,0.03
601.4008,601.4096,601.424,601.4092,6.185433387756348,0.0232
601.5344,601.5468,601.5744,601.5496,11.41723918914795,0.04
607.4632,607.4728,607.4896,607.4708,8.149581909179688,0.0264
608.792,608.8036,608.8128,608.8052,5.743024826049805,0.0208
610.6204,610.64,610.6548,610.6372,7.664798259735107,0.0344
