Observation id,Observation date,Description,Observation type,Source,Total duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,EventType,Behavioral category,Modifier #1,Behavior type,Start (s),Stop (s),Duration (s),Media file name,StartFrame,EndFrame,Image file path start,Image file path stop,Comment start,Comment stop,ActualStartFrame,ActualEndFrame,indexStart,indexEnd
7744_SSIntro,42:51.3,,Media file,player #1:C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7744_SSintro_Jan27.mp4,3935.2,4096.583,60,No focal subject,1395.025,epoch,Not defined,rest start,POINT,0,0,,C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7744_SSintro_Jan27.mp4,0,0,,,,,1,1,9786,9786
7744_SSIntro,42:51.3,,Media file,player #1:C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7744_SSintro_Jan27.mp4,3935.2,4096.583,60,No focal subject,1395.025,sleeping,Not defined,,STATE,485.717,489.883,4.166,C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7744_SSintro_Jan27.mp4,29143,29393,,,,,29144,29394,1224044,1234461
7744_SSIntro,42:51.3,,Media file,player #1:C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7744_SSintro_Jan27.mp4,3935.2,4096.583,60,No focal subject,1395.025,sleeping,Not defined,,STATE,495.917,526.167,30.25,C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7744_SSintro_Jan27.mp4,29755,31570,,,,,29756,31571,1249544,1325166
7744_SSIntro,42:51.3,,Media file,player #1:C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7744_SSintro_Jan27.mp4,3935.2,4096.583,60,No focal subject,1395.025,sleeping,Not defined,,STATE,532.9,568.317,35.417,C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7744_SSintro_Jan27.mp4,31974,34099,,,,,31975,34100,1341999,1430539
7744_SSIntro,42:51.3,,Media file,player #1:C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7744_SSintro_Jan27.mp4,3935.2,4096.583,60,No focal subject,1395.025,sleeping,Not defined,,STATE,577.817,578.467,0.65,C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7744_SSintro_Jan27.mp4,34669,34708,,,,,34670,34709,1454288,1455913
7744_SSIntro,42:51.3,,Media file,player #1:C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7744_SSintro_Jan27.mp4,3935.2,4096.583,60,No focal subject,1395.025,sleeping,Not defined,,STATE,587.4,588.35,0.95,C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7744_SSintro_Jan27.mp4,35244,35301,,,,,35245,35302,1478246,1480621
7744_SSIntro,42:51.3,,Media file,player #1:C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7744_SSintro_Jan27.mp4,3935.2,4096.583,60,No focal subject,1395.025,sleeping,Not defined,,STATE,592.7,626.733,34.033,C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7744_SSintro_Jan27.mp4,35562,37604,,,,,35563,37605,1491495,1576576
7744_SSIntro,42:51.3,,Media file,player #1:C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7744_SSintro_Jan27.mp4,3935.2,4096.583,60,No focal subject,1395.025,sleeping,Not defined,,STATE,629.483,647.667,18.184,C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7744_SSintro_Jan27.mp4,37769,38860,,,,,37770,38861,1583451,1628908
7744_SSIntro,42:51.3,,Media file,player #1:C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7744_SSintro_Jan27.mp4,3935.2,4096.583,60,No focal subject,1395.025,sleeping,Not defined,,STATE,712.3,715.85,3.55,C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7744_SSintro_Jan27.mp4,42738,42951,,,,,42739,42952,1790487,1799362
7744_SSIntro,42:51.3,,Media file,player #1:C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7744_SSintro_Jan27.mp4,3935.2,4096.583,60,No focal subject,1395.025,sleeping,Not defined,,STATE,735.333,737.45,2.117,C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7744_SSintro_Jan27.mp4,44120,44247,,,,,44121,44248,1848069,1853360
7744_SSIntro,42:51.3,,Media file,player #1:C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7744_SSintro_Jan27.mp4,3935.2,4096.583,60,No focal subject,1395.025,sleeping,Not defined,,STATE,746.833,777.233,30.4,C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7744_SSintro_Jan27.mp4,44810,46634,,,,,44811,46635,1876818,1952816
7744_SSIntro,42:51.3,,Media file,player #1:C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7744_SSintro_Jan27.mp4,3935.2,4096.583,60,No focal subject,1395.025,sleeping,Not defined,,STATE,782.45,797.317,14.867,C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7744_SSintro_Jan27.mp4,46947,47839,,,,,46948,47840,1965857,2003023
7744_SSIntro,42:51.3,,Media file,player #1:C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7744_SSintro_Jan27.mp4,3935.2,4096.583,60,No focal subject,1395.025,sleeping,Not defined,,STATE,801.4,818.65,17.25,C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7744_SSintro_Jan27.mp4,48085,49119,,,,,48086,49120,2013273,2056355
7744_SSIntro,42:51.3,,Media file,player #1:C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7744_SSintro_Jan27.mp4,3935.2,4096.583,60,No focal subject,1395.025,sleeping,Not defined,,STATE,821.983,898.033,76.05,C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7744_SSintro_Jan27.mp4,49319,53882,,,,,49320,53883,2064688,2254808
