Start,Peak,Stop,Trough,Max_Envelope_Amp,Duration_ms,Event Times,Event Cluster IDs
581.01,581.0216,581.0428,581.0204,8.103979110717773,0.0328,"[581.0100666666667, 581.0103, 581.0108333333334, 581.0119, 581.0122, 581.0124666666667, 581.0141666666667, 581.0147, 581.0148333333333, 581.0151666666667, 581.0152666666667, 581.0159, 581.0159333333334, 581.0166, 581.0175, 581.0223333333333, 581.0225666666666, 581.024, 581.0246, 581.0268333333333, 581.0275666666666, 581.0293666666666, 581.0339, 581.0339666666666, 581.0342, 581.0351666666667, 581.0352333333333, 581.0360333333333, 581.0362666666666, 581.0363333333333, 581.0374333333333, 581.0377, 581.0378, 581.0407, 581.0410666666667, 581.0426333333334]","[178, 243, 166, 257, 77, 56, 17, 178, 42, 243, 166, 29, 257, 77, 207, 257, 77, 42, 183, 257, 56, 17, 56, 77, 30, 166, 42, 243, 223, 183, 15, 257, 56, 243, 56, 257]"
708.4712,708.5044,708.51,708.5036,3.9941439628601074,0.0388,"[708.4725666666667, 708.473, 708.4747, 708.4789666666667, 708.4818666666666, 708.4819666666667, 708.4820666666667, 708.4825, 708.4891666666666, 708.4902333333333, 708.4918333333334, 708.4930666666667, 708.4947, 708.4957, 708.5001666666667, 708.5002, 708.5016666666667, 708.5017, 708.5018333333334, 708.5031, 708.5045666666666]","[56, 166, 30, 178, 15, 56, 190, 29, 29, 56, 190, 15, 29, 183, 166, 257, 178, 164, 179, 134, 15]"
709.544,709.562,709.5736,709.5504,4.420509338378906,0.0296,"[709.5447666666666, 709.5454666666667, 709.547, 709.5479, 709.5483333333333, 709.5500666666667, 709.5512666666667, 709.5525, 709.5547, 709.5574333333333, 709.5627333333333, 709.5648666666667, 709.5649, 709.5655, 709.5661333333334, 709.5668333333333, 709.5714666666667, 709.5718666666667, 709.5722666666667, 709.5727333333333]","[77, 257, 251, 56, 207, 168, 166, 168, 257, 56, 183, 15, 178, 166, 56, 77, 251, 30, 257, 166]"
709.7236,709.7456,709.7528,709.7428,3.347921848297119,0.0292,"[709.7252666666667, 709.7259333333334, 709.7302333333333, 709.7303333333333, 709.7327333333334, 709.7333333333333, 709.7344666666667, 709.7366, 709.7389666666667, 709.7403666666667, 709.7414333333334, 709.7427666666666, 709.7432333333334, 709.7434, 709.7442333333333, 709.7455333333334, 709.7470333333333, 709.7495666666666, 709.7505666666667, 709.7517666666666, 709.7517666666666]","[228, 257, 56, 183, 166, 77, 183, 131, 77, 17, 183, 168, 166, 17, 56, 77, 183, 166, 29, 77, 183]"
712.3772,712.3976,712.43,712.3996,7.455256938934326,0.0528,"[712.3784, 712.3790666666666, 712.3794666666666, 712.3809666666667, 712.3822333333334, 712.3824, 712.3830333333333, 712.3846666666667, 712.3853333333333, 712.3857666666667, 712.3868333333334, 712.3880666666666, 712.3891666666667, 712.3924, 712.3927, 712.3928, 712.3930333333333, 712.3942333333333, 712.3955666666667, 712.3964333333333, 712.3965666666667, 712.3986, 712.4, 712.4006666666667, 712.4009666666667, 712.4043666666666, 712.4048, 712.4057, 712.4057666666666, 712.4060666666667, 712.4063666666667, 712.4066, 712.4081, 712.4097666666667, 712.4114666666667, 712.4125333333334, 712.4133, 712.4134333333334, 712.4153666666666, 712.4183, 712.4189666666666, 712.4194333333334, 712.4210666666667, 712.4211, 712.4215333333333, 712.4216333333334, 712.424, 712.4262, 712.4264333333333, 712.4270333333334, 712.4277]","[56, 178, 257, 183, 207, 168, 178, 257, 77, 56, 223, 183, 56, 183, 77, 56, 166, 168, 56, 223, 183, 166, 56, 15, 190, 168, 183, 29, 166, 56, 189, 168, 230, 56, 166, 183, 15, 56, 230, 178, 164, 56, 251, 178, 166, 15, 257, 56, 228, 15, 77]"
853.6588,853.6696,853.6852,853.6676,6.2894086837768555,0.0264,"[853.6620666666666, 853.6623333333333, 853.6625, 853.6626666666667, 853.6630666666666, 853.6632666666667, 853.6655333333333, 853.6658666666667, 853.6662666666666, 853.6670666666666, 853.6676333333334, 853.6681, 853.6686, 853.6688, 853.6689, 853.6692333333333, 853.6699333333333, 853.6699666666667, 853.6746666666667, 853.6761333333334, 853.6762, 853.6762333333334, 853.6769, 853.6773333333333, 853.6815666666666, 853.6816, 853.6816333333334, 853.6824666666666]","[257, 15, 56, 164, 190, 77, 166, 183, 56, 207, 77, 178, 15, 166, 207, 190, 15, 29, 77, 56, 29, 15, 183, 178, 166, 15, 77, 190]"
858.1544,858.16,858.1944,858.1872,3.333019733428955,0.04,"[858.1559666666667, 858.1589, 858.1602333333333, 858.1606333333333, 858.1617, 858.1617666666667, 858.1621333333334, 858.1622666666667, 858.1628, 858.1652666666666, 858.1661666666666, 858.1673333333333, 858.1674333333333, 858.1707666666666, 858.1711333333334, 858.1745666666667, 858.1760666666667, 858.1762333333334, 858.1776666666667, 858.1803333333334, 858.1804666666667, 858.1823333333333, 858.1832, 858.1843, 858.1885, 858.1894666666667, 858.1902, 858.1904, 858.1905, 858.1929333333334]","[29, 29, 178, 166, 77, 56, 164, 15, 29, 207, 228, 29, 56, 183, 56, 29, 166, 183, 77, 56, 166, 29, 77, 183, 15, 29, 166, 15, 178, 56]"
858.6076,858.6672,858.676,858.6668,4.9095683097839355,0.0684,"[858.6081333333333, 858.6081666666666, 858.6084, 858.6088333333333, 858.6092666666667, 858.6097666666667, 858.6137, 858.6139333333333, 858.6145666666666, 858.6181333333334, 858.6184333333333, 858.6216666666667, 858.6217, 858.6217, 858.622, 858.6231333333334, 858.6233, 858.6271666666667, 858.6348333333333, 858.6355333333333, 858.6387, 858.6391333333333, 858.6393, 858.6399666666666, 858.6404666666666, 858.6429, 858.6470666666667, 858.6493333333333, 858.6495, 858.6506333333333, 858.6508333333334, 858.6522333333334, 858.6532333333333, 858.6543666666666, 858.6547666666667, 858.6550333333333, 858.6561333333333, 858.6573666666667, 858.6591, 858.6592333333333, 858.6611, 858.6613, 858.6614666666667, 858.6617666666667, 858.6621333333334, 858.6635, 858.6668666666667, 858.6674, 858.6683666666667, 858.6684, 858.6687, 858.6723, 858.675]","[77, 168, 56, 131, 166, 207, 183, 56, 77, 56, 134, 77, 134, 29, 131, 29, 166, 56, 184, 131, 183, 56, 183, 15, 77, 184, 56, 257, 166, 77, 56, 183, 189, 42, 178, 166, 223, 183, 56, 164, 164, 183, 15, 166, 166, 190, 184, 77, 15, 56, 164, 183, 183]"
859.2096,859.218,859.2392,859.2196,7.228034973144531,0.0296,"[859.2104, 859.2110333333334, 859.2117, 859.2117333333333, 859.2135666666667, 859.2136333333333, 859.214, 859.2142666666666, 859.2155, 859.2162333333333, 859.2181666666667, 859.2190333333333, 859.2192333333334, 859.2201333333334, 859.2201333333334, 859.2211333333333, 859.2218666666666, 859.222, 859.2222666666667, 859.2234666666667, 859.2254333333333, 859.2255, 859.2261666666667, 859.2269, 859.2275, 859.2278333333334, 859.2280666666667, 859.2310333333334, 859.2311, 859.2318666666666, 859.2324, 859.2325333333333, 859.2331666666666, 859.2346666666666, 859.2358, 859.236, 859.2376666666667, 859.2387666666667]","[15, 77, 183, 30, 168, 184, 166, 77, 56, 168, 183, 56, 77, 42, 166, 29, 178, 184, 183, 77, 179, 42, 184, 207, 77, 183, 56, 89, 179, 77, 166, 184, 42, 257, 77, 131, 166, 178]"
863.0668,863.0744,863.0944,863.0744,4.798305034637451,0.0276,"[863.0684666666667, 863.0705, 863.0708666666667, 863.0709, 863.0712, 863.0748666666667, 863.0751333333334, 863.0762666666667, 863.0777, 863.0777666666667, 863.0783666666666, 863.0784666666667, 863.0830666666667, 863.0855333333334, 863.0858333333333, 863.0871333333333, 863.0884333333333, 863.0887, 863.0915666666667, 863.092, 863.0925333333333, 863.0932]","[56, 77, 166, 15, 190, 56, 166, 223, 15, 190, 164, 119, 56, 15, 77, 164, 56, 223, 15, 257, 77, 190]"
