cluster_id	Amplitude	ContamPct	KSLabel	amp	ch	depth	fr	group	n_spikes	sh
0	478.00000000	82.80000000	mua	38.17850876	1	1440.00000000	5.98045495	mua	21692	0
1	680.60000000	20.40000000	mua	55.79640198	10	1515.00000000	8.41294407	good	30515	0
2	2251.70000000	100.00000000	mua	175.69866943	47	1785.00000000	0.00220559	noise	8	0
3	806.80000000	73.80000000	mua	56.64530182	13	2250.00000000	3.89644891	mua	14133	0
4	1483.10000000	100.00000000	mua	180.89112854	69	2310.00000000	0.02426148	noise	88	0
5	590.70000000	74.80000000	mua	43.17975616	23	2325.00000000	4.86801093	mua	17657	0
7	868.20000000	2.90000000	good	66.88294220	29	2370.00000000	0.92359045	good	3350	0
9	2122.40000000	0.00000000	mua	154.52581787	321	2040.00000000	0.00082710	noise	3	0
10	703.80000000	33.40000000	mua	57.42428207	32	2400.00000000	3.83855220	mua	13923	0
11	704.50000000	49.50000000	mua	54.36222839	32	2400.00000000	5.21373703	mua	18911	0
13	280.30000000	58.70000000	mua	20.88091278	33	2400.00000000	3.63067542	noise	13169	0
14	1561.90000000	68.30000000	mua	74.71379089	33	2400.00000000	4.10019021	mua	14872	0
16	1267.20000000	0.30000000	good	77.13520813	35	1695.00000000	67.91780916	good	246348	0
17	1134.80000000	100.00000000	mua	106.80517578	101	1830.00000000	0.01102795	noise	40	0
19	627.90000000	67.90000000	mua	51.67185211	51	1455.00000000	2.95190536	mua	10707	0
21	3337.50000000	inf	mua	146.40008545	65	2280.00000000	0.00110279	noise	4	0
22	1690.40000000	0.00000000	mua	106.12120056	65	2280.00000000	0.00137849	noise	5	0
23	3899.80000000	518.40000000	mua	83.98014832	55	2205.00000000	0.28424530	noise	1031	0
24	1301.50000000	35.40000000	mua	76.04168701	55	2205.00000000	8.12649318	noise	29476	0
25	1110.40000000	24.10000000	mua	73.00497437	55	2205.00000000	4.78943682	noise	17372	0
26	1234.30000000	185.70000000	mua	79.80461121	55	2205.00000000	4.72602613	noise	17142	0
27	1942.80000000	0.00000000	mua	96.56615448	55	2205.00000000	0.00385978	noise	14	0
28	3311.80000000	156.80000000	mua	165.99044800	56	2220.00000000	2.52677806	noise	9165	0
29	18425.50000000	548.90000000	mua	112.32943726	56	2220.00000000	0.12020461	noise	436	0
30	4511.30000000	160.40000000	mua	170.36357117	56	2220.00000000	1.59160826	noise	5773	0
31	4570.50000000	157.00000000	mua	84.14265442	56	2220.00000000	0.45352427	noise	1645	0
32	3797.80000000	167.40000000	mua	171.36886597	56	2220.00000000	0.70055025	noise	2541	0
33	1817.50000000	244.90000000	mua	85.83215332	56	2220.00000000	0.21835332	noise	792	0
34	2886.10000000	153.20000000	mua	136.23898315	56	2220.00000000	1.11768230	noise	4054	0
35	1201.70000000	100.00000000	mua	135.27436829	339	1815.00000000	0.01764471	noise	64	0
36	2151.60000000	inf	mua	87.67236328	65	2280.00000000	0.00220559	noise	8	0
37	308.20000000	75.50000000	mua	19.21958733	334	2145.00000000	2.89042457	noise	10484	0
38	238.70000000	105.80000000	mua	18.06386185	69	2310.00000000	2.38120917	noise	8637	0
39	767.40000000	84.50000000	mua	55.34426880	77	2370.00000000	1.28172299	mua	4649	0
40	417.90000000	99.90000000	mua	32.76797485	83	2415.00000000	1.15435022	mua	4187	0
41	522.70000000	94.70000000	mua	40.68394852	83	2415.00000000	1.25580732	mua	4555	0
42	1619.20000000	100.00000000	mua	141.64483643	350	1905.00000000	0.00385978	noise	14	0
43	640.30000000	23.30000000	mua	49.37893677	86	1005.00000000	8.08954957	mua	29342	0
44	369.60000000	25.40000000	mua	27.59719849	94	1065.00000000	5.06292987	mua	18364	0
45	295.50000000	83.70000000	mua	21.55983734	144	1080.00000000	2.69660842	noise	9781	0
46	3775.40000000	110.10000000	mua	81.61059570	97	1800.00000000	1.41957231	noise	5149	0
47	1180.10000000	52.90000000	mua	76.50166321	97	1800.00000000	4.40979979	noise	15995	0
48	1792.10000000	140.60000000	mua	87.03100586	97	1800.00000000	3.05887644	noise	11095	0
49	1192.30000000	30.80000000	mua	77.11794281	97	1800.00000000	8.26213692	noise	29968	0
50	700.10000000	153.50000000	mua	54.89100647	97	1800.00000000	1.41819382	noise	5144	0
51	1567.50000000	100.00000000	mua	142.04071045	339	1815.00000000	0.00523827	noise	19	0
52	521.60000000	83.50000000	mua	39.99399948	99	1815.00000000	4.33343126	mua	15718	0
53	572.50000000	0.00000000	mua	49.02449799	101	1830.00000000	0.08546658	noise	310	0
54	655.40000000	42.60000000	mua	48.01879883	107	1875.00000000	2.04127275	mua	7404	0
55	258.10000000	99.70000000	mua	20.71492958	111	1905.00000000	2.63595472	mua	9561	0
56	414.30000000	42.80000000	mua	31.92405128	113	1920.00000000	4.02961136	mua	14616	0
57	994.70000000	55.50000000	mua	65.52208710	119	1965.00000000	3.22622551	good	11702	0
58	1545.80000000	100.00000000	mua	178.26239014	228	1710.00000000	0.00854666	noise	31	0
59	2336.60000000	100.00000000	mua	184.12512207	101	1830.00000000	0.00220559	noise	8	0
60	1266.40000000	1.70000000	good	97.70358276	125	2010.00000000	38.84263033	good	140888	0
62	1967.10000000	100.00000000	mua	152.33290100	101	1830.00000000	0.00248129	noise	9	0
63	1269.10000000	0.90000000	good	80.59378815	128	2040.00000000	44.17243649	good	160220	0
