Start,Peak,Stop,Trough,Max_Envelope_Amp,Duration_ms,Event Times,Event Cluster IDs,Unique Event Cluster IDs,Sorted Event Cluster IDs
395.9528,395.9676,395.9796,395.9664,7.640599727630615,0.0268,"[395.95636666666667, 395.9578666666667, 395.961, 395.96136666666666, 395.9619666666667, 395.9621333333333, 395.96226666666666, 395.96256666666665, 395.96653333333336, 395.9673666666667, 395.9682666666667, 395.9696666666667, 395.9699, 395.97046666666665, 395.9763, 395.9775, 395.97766666666666]","[60, 199, 228, 63, 196, 67, 199, 85, 222, 199, 16, 60, 67, 199, 199, 85, 67]","[60, 199, 228, 63, 196, 67, 85, 222, 16]","[16, 60, 63, 67, 85, 196, 199, 222, 228]"
396.452,396.4728,396.49,396.4692,7.283451557159424,0.038,"[396.4521, 396.4537, 396.4540333333333, 396.45576666666665, 396.4569333333333, 396.4572333333333, 396.45933333333335, 396.45986666666664, 396.46006666666665, 396.4604, 396.4608, 396.4619666666667, 396.4639333333334, 396.4642333333333, 396.46436666666665, 396.4655666666667, 396.4663, 396.4667, 396.4675, 396.4686, 396.4695, 396.4705666666667, 396.47063333333335, 396.4707, 396.4748666666667, 396.4752, 396.47703333333334, 396.47723333333334, 396.4780333333333, 396.47833333333335, 396.48, 396.4814666666667, 396.4825, 396.4827, 396.48386666666664, 396.4851, 396.4867, 396.48676666666665, 396.4889333333333, 396.48903333333334, 396.4898666666666]","[67, 60, 85, 190, 67, 60, 16, 67, 85, 237, 60, 212, 67, 16, 190, 85, 60, 226, 138, 85, 67, 85, 60, 170, 85, 86, 212, 60, 63, 67, 85, 86, 60, 196, 67, 233, 60, 85, 86, 67, 63]","[67, 60, 85, 190, 16, 237, 212, 226, 138, 170, 86, 63, 196, 233]","[16, 60, 63, 67, 85, 86, 138, 170, 190, 196, 212, 226, 233, 237]"
397.8444,397.8552,397.8704,397.858,9.787484169006348,0.026,"[397.8448, 397.8451666666666, 397.84543333333335, 397.8464333333333, 397.84673333333336, 397.84836666666666, 397.8491333333333, 397.85023333333334, 397.8503666666667, 397.852, 397.85266666666666, 397.8541, 397.8543, 397.8547, 397.8562, 397.8573666666667, 397.85746666666665, 397.858, 397.8581, 397.8588, 397.8600666666667, 397.86286666666666, 397.8667, 397.8673333333333, 397.869]","[67, 60, 85, 63, 66, 67, 85, 94, 98, 63, 60, 85, 120, 67, 170, 7, 16, 196, 63, 85, 60, 120, 85, 170, 63]","[67, 60, 85, 63, 66, 94, 98, 120, 170, 7, 16, 196]","[7, 16, 60, 63, 66, 67, 85, 94, 98, 120, 170, 196]"
398.26,398.2728,398.282,398.2716,8.641111373901367,0.022,"[398.2607, 398.26166666666666, 398.2631666666667, 398.2631666666667, 398.2649666666667, 398.2656, 398.2658666666667, 398.266, 398.2662666666667, 398.2669, 398.2673, 398.26863333333336, 398.2695, 398.27113333333335, 398.2715333333333, 398.2715666666667, 398.2719666666667, 398.2726666666667, 398.2746666666667, 398.2755666666667, 398.27613333333335, 398.27683333333334, 398.2769, 398.2776666666667, 398.2794666666667, 398.2796666666667, 398.2798, 398.2798666666667, 398.2801, 398.28026666666665]","[16, 67, 85, 60, 67, 228, 170, 195, 98, 16, 60, 85, 67, 16, 195, 196, 7, 63, 67, 85, 67, 16, 7, 63, 233, 16, 67, 85, 190, 60]","[16, 67, 85, 60, 228, 170, 195, 98, 196, 7, 63, 233, 190]","[7, 16, 60, 63, 67, 85, 98, 170, 190, 195, 196, 228, 233]"
398.9188,398.93,398.9668,398.9288,5.265129089355469,0.048,"[398.9195, 398.9201, 398.9223666666667, 398.9234666666667, 398.9252333333333, 398.92566666666664, 398.9270666666667, 398.92833333333334, 398.9295666666667, 398.9324, 398.9327666666667, 398.93483333333336, 398.93676666666664, 398.93696666666665, 398.93823333333336, 398.93856666666665, 398.94263333333333, 398.9442333333334, 398.9444, 398.9449, 398.9454333333333, 398.9461333333333, 398.94643333333335, 398.94733333333335, 398.9476666666667, 398.94843333333336, 398.9497, 398.95073333333335, 398.9514, 398.9526333333333, 398.9529666666666, 398.95306666666664, 398.9547666666666, 398.9548, 398.9549, 398.9551666666667, 398.9552, 398.9572333333333, 398.9578, 398.9603333333333, 398.96143333333333, 398.9628666666667, 398.9639, 398.96403333333336, 398.96526666666665, 398.9654, 398.9658333333333]","[140, 67, 16, 85, 170, 67, 85, 60, 63, 85, 67, 172, 63, 60, 85, 67, 67, 85, 94, 173, 16, 233, 216, 67, 226, 103, 116, 85, 226, 67, 16, 216, 116, 60, 85, 172, 67, 94, 16, 222, 85, 116, 16, 94, 67, 66, 60]","[140, 67, 16, 85, 170, 60, 63, 172, 94, 173, 233, 216, 226, 103, 116, 222, 66]","[16, 60, 63, 66, 67, 85, 94, 103, 116, 140, 170, 172, 173, 216, 222, 226, 233]"
401.8584,401.8804,401.8892,401.8628,3.0854082107543945,0.0308,"[401.85943333333336, 401.86, 401.8601, 401.8613, 401.8617, 401.8639666666666, 401.86566666666664, 401.8658, 401.86583333333334, 401.8659, 401.86606666666665, 401.8666, 401.8666333333333, 401.8682333333333, 401.87053333333336, 401.8711, 401.8718333333333, 401.8720333333333, 401.87216666666666, 401.87233333333336, 401.87693333333334, 401.8783666666667, 401.8786333333333, 401.88343333333336, 401.8838, 401.8859]","[60, 7, 85, 16, 67, 173, 85, 67, 94, 236, 16, 196, 7, 60, 85, 7, 173, 67, 60, 16, 85, 60, 67, 85, 67, 60]","[60, 7, 85, 16, 67, 173, 94, 236, 196]","[7, 16, 60, 67, 85, 94, 173, 196, 236]"
403.92,403.9272,403.9572,403.9248,4.480749130249023,0.0372,"[403.9200666666667, 403.9202666666667, 403.9215, 403.9233, 403.9238, 403.9247, 403.9254, 403.9263, 403.9268666666667, 403.9270333333333, 403.9286, 403.9289, 403.92943333333335, 403.9300333333333, 403.93036666666666, 403.9309, 403.93196666666665, 403.9320333333333, 403.9326, 403.93283333333335, 403.9347, 403.9347, 403.9366, 403.93696666666665, 403.9379, 403.93856666666665, 403.9386666666667, 403.93873333333335, 403.93896666666666, 403.93913333333336, 403.9393333333333, 403.93943333333334, 403.93986666666666, 403.94123333333334, 403.9414, 403.9419, 403.9423, 403.94466666666665, 403.9447333333333, 403.94533333333334, 403.94556666666665, 403.94576666666666, 403.9461666666666, 403.9472, 403.94843333333336, 403.94873333333334, 403.9488, 403.9488333333333, 403.94893333333334, 403.9494, 403.95056666666665, 403.95163333333335, 403.9526333333333, 403.954, 403.9547666666666, 403.9556333333333, 403.9560333333333]","[16, 67, 170, 85, 228, 16, 60, 67, 85, 212, 190, 98, 85, 16, 63, 60, 67, 196, 190, 85, 216, 16, 85, 236, 212, 233, 60, 16, 173, 67, 63, 94, 233, 85, 216, 224, 196, 60, 16, 85, 67, 190, 63, 16, 67, 60, 236, 216, 196, 190, 196, 228, 60, 85, 67, 16, 85]","[16, 67, 170, 85, 228, 60, 212, 190, 98, 63, 196, 216, 236, 233, 173, 94, 224]","[16, 60, 63, 67, 85, 94, 98, 170, 173, 190, 196, 212, 216, 224, 228, 233, 236]"
415.5936,415.604,415.628,415.6064,5.357034683227539,0.0344,"[415.59366666666665, 415.5938, 415.59403333333336, 415.5944, 415.59476666666666, 415.5955666666667, 415.5998333333333, 415.6009333333334, 415.60383333333334, 415.60656666666665, 415.6077666666667, 415.6080333333333, 415.60946666666666, 415.61083333333335, 415.6129333333334, 415.6154, 415.6202666666667, 415.6206333333334, 415.6217, 415.6234666666667]","[227, 7, 16, 236, 67, 226, 7, 85, 60, 85, 16, 233, 94, 60, 67, 85, 85, 170, 67, 63]","[227, 7, 16, 236, 67, 226, 85, 60, 233, 94, 170, 63]","[7, 16, 60, 63, 67, 85, 94, 170, 226, 227, 233, 236]"
447.6188,447.6532,447.6612,447.6552,4.580515384674072,0.0424,"[447.6195666666667, 447.6199, 447.6211666666667, 447.62153333333333, 447.6235, 447.6236, 447.62463333333335, 447.6249666666667, 447.62846666666667, 447.62853333333334, 447.62893333333335, 447.6297333333333, 447.6338666666667, 447.6353, 447.6358666666667, 447.636, 447.6361333333333, 447.63963333333334, 447.6457, 447.6460333333333, 447.64613333333335, 447.6474666666667, 447.6485666666667, 447.65006666666665, 447.6512666666667, 447.6524333333333, 447.6544333333333, 447.6557, 447.65596666666664, 447.6564, 447.6573, 447.6589333333333, 447.6593, 447.6610333333333, 447.66116666666665]","[67, 85, 63, 16, 67, 85, 220, 60, 67, 220, 85, 16, 67, 220, 16, 60, 85, 63, 67, 85, 16, 236, 63, 16, 60, 85, 67, 16, 63, 233, 66, 60, 16, 85, 94]","[67, 85, 63, 16, 220, 60, 236, 233, 66, 94]","[16, 60, 63, 66, 67, 85, 94, 220, 233, 236]"
460.1812,460.2236,460.2696,460.2248,7.816101551055908,0.0884,"[460.18153333333333, 460.1834333333333, 460.1834666666667, 460.1838333333333, 460.1845, 460.18573333333336, 460.1893333333333, 460.19036666666665, 460.192, 460.19326666666666, 460.1942, 460.19486666666666, 460.1952, 460.196, 460.1992333333333, 460.2010333333333, 460.2015666666667, 460.2033, 460.2042666666667, 460.2069333333333, 460.2078, 460.2087333333333, 460.2090666666667, 460.21066666666667, 460.2112666666667, 460.2121333333333, 460.2125, 460.2126, 460.2128, 460.2149, 460.21546666666666, 460.2171, 460.2176, 460.2182, 460.2192666666666, 460.2196333333333, 460.2206, 460.2225666666667, 460.2231, 460.2244333333333, 460.22473333333335, 460.22476666666665, 460.2253, 460.22633333333334, 460.22763333333336, 460.2283, 460.2298333333333, 460.2298333333333, 460.2307666666667, 460.2308, 460.2332, 460.2333, 460.23336666666665, 460.23356666666666, 460.2337, 460.2383, 460.23946666666666, 460.23973333333333, 460.23993333333334, 460.2425666666667, 460.24306666666666, 460.2431, 460.24553333333336, 460.2461333333333, 460.2465, 460.24673333333334, 460.24696666666665, 460.2497666666667, 460.2506666666667, 460.25073333333336, 460.2508, 460.25103333333334, 460.2552666666666, 460.2564, 460.25716666666665, 460.2583333333333, 460.2588, 460.2601, 460.2606666666667, 460.2608333333333, 460.2624333333333, 460.2635666666667, 460.26376666666664, 460.2648, 460.26526666666666, 460.26556666666664, 460.26596666666666, 460.26663333333335, 460.2689]","[140, 227, 85, 63, 67, 16, 85, 227, 196, 16, 227, 60, 67, 60, 60, 227, 67, 85, 200, 227, 67, 60, 16, 227, 85, 67, 200, 16, 230, 60, 85, 200, 16, 227, 67, 85, 60, 110, 227, 16, 85, 67, 196, 16, 227, 60, 103, 85, 63, 67, 16, 85, 110, 60, 94, 196, 16, 60, 85, 103, 60, 212, 85, 227, 67, 103, 16, 227, 85, 67, 60, 16, 85, 67, 16, 138, 60, 85, 67, 16, 191, 85, 233, 67, 78, 7, 196, 223, 212]","[140, 227, 85, 63, 67, 16, 196, 60, 200, 230, 110, 103, 94, 212, 138, 191, 233, 78, 7, 223]","[7, 16, 60, 63, 67, 78, 85, 94, 103, 110, 138, 140, 191, 196, 200, 212, 223, 227, 230, 233]"
